commit,validation_status,validation_reason,build_after,test_after,build_before,test_before,error_type,regressions,fixes,new_passes
3f87b3cd9842f3ffab51b5c886e8dcefbc656248,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,1,0
7f18135a9870314ccfdf885c7d280c45e275f642,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,4,0
054308ba17a331c5ec8c2c47ed7cc38d9e4af611,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,10
d4d5b1cc4f53ec4f57e8e5cccc243b41b9223efe,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,10
a04d2466697536ff423c8aa7c9b81d26dda6aa07,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,3,0
716109b55869cc2c0b4e31da7fbd16f5b30a3ee2,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,692
3680bd902ccaef52d7e3fd85cbe597e55dff59cc,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,2197
320fc753903506f7cf8c31bf898c17b711b06e53,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,3,0
d4fa752273e4f642628b94674aba5bf0158b0c66,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,2,0
46ec08f2def5876b88cce54b0f594c06bbe740a6,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,33
94fc833375e31ddc243d2761177c644d25690641,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,5
7d0e861c4cbf228466e8074470433e5222d156ce,BUILD_FAILED,reused_build_failure,Fail,Skipped,Skipped,Skipped (Only New Tests),,0,0,0
edfdd079abc5696da9179168c09f318c007e8fac,VALID_BACKPORT,reused_build_and_tests_passed,Success,Success,Skipped,Skipped (Only New Tests),,0,0,6
4dd1b879997e1de2119657ac8f359700ea34c9fd,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,33
6cd41647f471d5afac935ee1745553429a0c242b,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
b5f8da18337a5f3e795d9f6594c22aa6309da0f2,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,1,0
0e0b4fbec2ebfd153fa18c9e665e4e51713a41b7,VALID_BACKPORT,,Success,Success,Success,Crash/No Report,,0,0,1
eb0b8d69c4903b53505385f60b8029fe291fef0f,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,2
027f96a427b87c597d1508e290f084b93b67b745,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,7,0
1a697b551d26d2449dc749763db422b97803ee28,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,1,0
4c63481b732ff90d2249e0004f70b325b5210f93,VALID_BACKPORT,reused_build_and_tests_passed,Success,Success,Skipped,Skipped (Only New Tests),,0,0,32
5e9f907000cd69ccc7cc1d822705a3560b36cbfc,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
e777dbaa7c08c6b18ae97aade9fcaf42ec0d675c,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,1,0
7b2d90b11e479bae7d7ad4a696daeaae8012ca5b,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,2,0
fb45fd724afa1bb9e102bd64478cf7249382c49d,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,2,0
4fb5514d87de3487d8e83abd9a238dbb29d47b98,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,47,0
da55d6c2709ecb448d1bf9b53f53bdbd2f2a40fc,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
b7dc70ddaeea50e25a90850d19b999cbd21a3e61,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,6
f28df38704d99bbcd9440a5eb0a5d11d43d51154,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
afb72ceb50d3c2f1c2ce1a2f1affae04368d08ed,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,1
075a40aecbd42a4915cc17ccd9871e4f62f5920b,VALID_BACKPORT,tests_fixed,Success,Fail,Success,Fail,,0,1,38
b769c5eddd3221c98c80a9412768c67f827a0939,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
b80f6770f58b12d4d9f713664cf2c2ed76706af6,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,1,0
be2fcc7058e76f98a472560ec3223c10becf0679,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,10
