commit,validation_status,validation_reason,build_after,test_after,build_before,test_before,error_type,regressions,fixes,new_passes
7ac7f054df2c76a6086239524d7c062ab25e16ef,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,7
f7418734101ed2615c86b97ca070002d4bb68266,VALID_BACKPORT,,Fail,Skipped,Skipped,Skipped (Build Failed),,0,0,0
040c029fced76b297a431e73fe4538efa8c5508c,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
3f035744a8387782b4974a14714d488b6237cb6a,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
3160b36ffd72e7143734ba3434e3a727b0658a4e,VALID_BACKPORT,,Fail,Skipped,Skipped,Skipped (Build Failed),,0,0,0
01cfc8b53e401335e0e084d4c1e0bbcf8387ced0,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,2
d18a97f4634a72cebd9d8c1eb4e3079fad83b686,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,2
2848cfa42c85cf7dea751113cadb22733a0c11b1,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,2
e554476aa02d067c8e293ad034ee16d6d8629a5c,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
ba56db030165c2bb789f091425e650c4243217cb,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
763f3021141954bcbab13d70625b2dc8d4045e10,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
9718add5715a5da5f6f6f524e2eb66b2dbca3cca,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
f56248673aead5c1252165253bb85f6d24942416,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
a35145b461572a9cbfc44c36520829f4430ab6df,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
ba12a6be48fe3769689f5bc0cf3cf14bd8891a37,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,4
794f6b477bb7e68e37105f5f57177f4992aee1bd,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,4
7f899f53ff903c5e32e4d187841a6f927d915756,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
37f6f2cf8d896287d9af49eaa6f3d7299ecb080f,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
34c13c8b1240a09801e1a354603510bbad8cea07,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
643d6b74cc87cb4221d78a5c9d4375448ae77d94,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
91672904a7ba86c80cfe3c841ac25e79e5342ef4,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
ae16859cef101f77f31c1854a902045c443fa371,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
441b2fe8ba505aff18333a468a85d0d2b4e38c50,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
57984708d5c23bb3d5034cfd2b44d7e83cc50d1e,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
39b9b2be671678b8b7a532b8a620700b4889184f,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
db235a2153d4e28f4c3efb3e37eb0a80e8c03138,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
dba3a85b542718945979812451fa695c204291d3,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
e1cebb0deaf8c55071b9e490172e725b37e78d4a,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
3edfa3ef740cf6513ce3527ea8e52c69c471d37d,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
